2020-2-3,  17:35:10,  70 cm,  0.876
2020-2-3,  17:36:06,  60 cm,  0.800
2020-2-3,  17:36:07,  60 cm,  0.798
2020-2-3,  17:36:08,  60 cm,  0.801
2020-2-3,  17:37:16,  50 cm,  0.726
2020-2-3,  17:37:17,  50 cm,  0.731
2020-2-3,  17:37:18,  50 cm,  0.731
2020-2-3,  17:39:21,  40 cm,  0.729
2020-2-3,  17:39:22,  40 cm,  0.727
2020-2-3,  17:39:23,  40 cm,  0.729
2020-2-3,  17:40:14,  30 cm,  0.646
2020-2-3,  17:40:15,  30 cm,  0.647
2020-2-3,  17:40:16,  30 cm,  0.646
2020-2-3,  17:41:18,  20 cm,  0.679
2020-2-3,  17:41:19,  20 cm,  0.679
2020-2-3,  17:41:20,  20 cm,  0.677
2020-2-3,  17:42:27,  10 cm,  0.713
2020-2-3,  17:42:28,  10 cm,  0.717
2020-2-3,  17:42:29,  10 cm,  0.714
2020-2-3,  17:43:51,  Spectralon 99%,  2.018
2020-2-3,  17:43:52,  Spectralon 99%,  2.017
2020-2-3,  17:43:53,  Spectralon 99%,  2.019
2020-2-3,  17:44:13,  Spectralon 60%,  1.733
2020-2-3,  17:44:14,  Spectralon 60%,  1.732
2020-2-3,  17:44:15,  Spectralon 60%,  1.730
2020-2-3,  17:44:33,  Spectralon 40%,  1.249
2020-2-3,  17:44:34,  Spectralon 40%,  1.247
2020-2-3,  17:44:35,  Spectralon 40%,  1.251
2020-2-3,  17:44:51,  Spectralon 20%,  0.739
2020-2-3,  17:44:53,  Spectralon 20%,  0.739
2020-2-3,  17:44:54,  Spectralon 20%,  0.738
2020-2-3,  17:45:09,  Spectralon 5%,  0.295
2020-2-3,  17:45:10,  Spectralon 5%,  0.297
2020-2-3,  17:45:11,  Spectralon 5%,  0.297
